Formula,Name,IUPAC Standard InChIKey,EA_,IE_,SMILES,EA,IE
C6H8N2O,N-Propionylimidazole,GDBUORNHWAZSNU-UHFFFAOYSA-N,,,CCC(=O)N1C=CN=C1,-0.249067725,8.682450506
C6H8N2O,5-Cyano-5-methyl-2-pyrrolidone,BXKKJJWDNAORNS-UHFFFAOYSA-N,,,CC1(CCC(=O)N1)C#N,-0.853924718,9.272297911
C6H8N2O,Pyrazineethanol,MHDJZGMTVSLZDB-UHFFFAOYSA-N,,,C1=CN=C(C=N1)CCO,0.098786814,8.113860334
C8H7NO2,"Benzene, (2-nitroethenyl)-",PIAOLBVUVDXHHL-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C=C[N+](=O)[O-],1.236086886,8.542809096
C8H7NO2,"Benzene, 1-ethenyl-3-nitro-",SYZVQXIUVGKCBJ-UHFFFAOYSA-N,,,C=CC1=CC(=CC=C1)[N+](=O)[O-],0.992894016,8.557013238
C8H7NO2,"2H-1,4-Benzoxazin-3(4H)-one",QRCGFTXRXYMJOS-UHFFFAOYSA-N,,,C1C(=O)NC2=CC=CC=C2O1,-0.667162019,7.654282871
C8H7NO2,"Styrene, β-nitro-, (E)-",PIAOLBVUVDXHHL-VOTSOKGWSA-N,,,C1=CC=C(C=C1)C=C[N+](=O)[O-],1.236086886,8.542809096
C8H7NO2,"Benzene, 1-isocyanato-2-methoxy-",SUVCZZADQDCIEQ-UHFFFAOYSA-N,,,COC1=CC=CC=C1N=C=O,-0.568598335,7.693883039
C8H7NO2,"Benzonitrile,4-methoxy-N-oxide",KRFPSIUELVLHAY-UHFFFAOYSA-N,,8.42,,-0.403424844,7.575006343
C8H7NO2,"Benzene, 1-isocyanato-4-methoxy-",FMDGXCSMDZMDHZ-UHFFFAOYSA-N,,,COC1=CC=C(C=C1)N=C=O,-0.340270834,7.640753561
C8H7NO2,3-(4-Pyridyl)acrylic acid,SSAYTINUCCRGDR-OWOJBTEDSA-N,,,C1=CN=CC=C1C=CC(=O)O,1.075011372,-
C8H7NO2,"Benzofuran-2-one, 4-amino-2,3-dihydro-",YOFBHFZFZSNSGS-UHFFFAOYSA-N,,,C1C2=C(C=CC=C2OC1=O)N,-0.72240307,-
C8H7NO2,[(Z)-2-nitroethenyl]benzene,PIAOLBVUVDXHHL-SREVYHEPSA-N,,,C1=CC=C(C=C1)C=C[N+](=O)[O-],1.236086886,8.542809096
C8H7NO2,2-Phenylglyoxylamide,WFRSBFQCMFWRTD-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C(=O)C(=O)N,0.900694984,8.189106912
C8H6O3,Piperonal,SATCULPHIDQDRE-UHFFFAOYSA-N,,,C1OC2=C(O1)C=C(C=C2)C=O,0.066166268,-
C8H6O3,Benzoylformic acid,FAQJJMHZNSSFSM-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C(=O)C(=O)O,1.067196372,8.577320807
C8H6O3,"Benzoic acid, 4-formyl-",GOUHYARYYWKXHS-UHFFFAOYSA-N,,,C1=CC(=CC=C1C=O)C(=O)O,1.142785809,-
