count,IUPAC Name,InChIKey,SMILE,solvent,"SRP (exp, V)","SRP (calc, V)",IP(exp),IP(calc),비고
101,benzene,BJISZDCMBMQNIY-UHFFFAOYSA-N,C1=CC=[C-]C=C1,CH3CN,,-0.6,,1.33,anion
102,,CIUQDSCDWFSTQR-UHFFFAOYSA-N,C1=CC=[C]C=C1,CH3CN,,1.8,,8.51,radical
103,2H-furan-2-ide,POWOVNFCLDRNMS-UHFFFAOYSA-N,C1=CO[C-]=C1,CH3CN,,0.33,,2.13,anion
104,,FHTSIFHJYGMMMD-UHFFFAOYSA-N,C1=CO[C]=C1,CH3CN,,2.85,,9.79,radical
105,3H-furan-3-ide,UUXJXXQYMZSEKU-UHFFFAOYSA-N,C1=COC=[C-]1,CH3CN,,0.08,,1.91,anion
106,,JXWNSUGAEVPPNJ-UHFFFAOYSA-N,C1=COC=[C]1,CH3CN,,2.99,,9.9,radical
107,"1,2-dihydropyrrol-2-ide",CFGDUGSIBUXRMR-UHFFFAOYSA-N,C1=CN[C-]=C1,CH3CN,,0.01,,1.86,anion
108,,HPVLTCVIGICMSV-UHFFFAOYSA-N,C1=CN[C]=C1,CH3CN,,2.18,,9.04,radical
109,"1,3-dihydropyrrol-3-ide",XMFAAIVNNSITSV-UHFFFAOYSA-N,C1=CNC=[C-]1,CH3CN,,-0.29,,1.4,anion
110,,,C1=CNC=[C]1,CH3CN,,2.28,,9.1,radical
111,2H-pyridin-2-ide,TSRPXNPVLMJLB-UHFFFAOYSA-N,C1=CC=N[C-]=C1,CH3CN,,-0.75,,1.07,anion
112,,FIULGFJIHJJXMT-UHFFFAOYSA-N,C1=CC=N[C]=C1,CH3CN,,1.41,,8.07,radical
113,3H-pyridin-3-ide,IVDUOOZXFCKGAE-UHFFFAOYSA-N,C1=C[C-]=CN=C1,CH3CN,,-0.32,,1.68,anion
114,,KPCZJLGGXRGYIE-UHFFFAOYSA-N,C1=C[C]=CN=C1,CH3CN,,1.92,,8.59,radical
115,4H-pyridin-4-ide,UJTLNVZLRJLYKM-UHFFFAOYSA-N,C1=CN=CC=[C-]1,CH3CN,,-0.35,,1.71,anion
116,,XKLOYCALBFDZLY-UHFFFAOYSA-N,C1=CN=CC=[C]1,CH3CN,,1.97,,8.74,radical
117,ethanone,RRGZOQKPWJKLOE-UHFFFAOYSA-N,C[C-]=O,CH3CN,,-1.07,,0.74,anion
118,,TUCNEACPLKLKNU-UHFFFAOYSA-N,C[C]=O,CH3CN,,0.24,,7.41,radical
119,methoxymethanone,JFCJAGCZXWKXCM-UHFFFAOYSA-N,CO[C-]=O,CH3CN,,-0.26,,1.66,anion
120,,RZWIXMSKICMDRK-UHFFFAOYSA-N,CO[C]=O,CH3CN,,0.79,,7.79,radical
121,dimethylaminomethanone,GBGAIFZSVQEKNT-UHFFFAOYSA-N,CN(C)[C-]=O,CH3CN,,-0.93,,0.93,anion
122,,WZZXFVXLEUXQCI-UHFFFAOYSA-N,CN(C)[C]=O,CH3CN,,0.29,,7.03,radical
123,,,[CH2-]N,CH3CN,,-1.8,,-0.26,anion
124,,XXJGBENTLXFVFI-UHFFFAOYSA-N,[CH2]N,CH3CN,,-0.66,,6.69,radical
125,N-methanidyl-N-methylmethanamine,DDJYECBQQIZPFL-UHFFFAOYSA-N,CN(C)[CH2-],CH3CN,,-1.82,,0,anion
126,,VMWJCFLUSKZZDX-UHFFFAOYSA-N,CN(C)[CH2],CH3CN,,-0.85,,5.91,radical
127,"N,N-dimethylpropan-2-amine",OOHNAWDOOLZXCE-UHFFFAOYSA-N,C[C-](C)N(C)C,CH3CN,,-1.86,,0.18,anion
128,,,C[C](C)N(C)C,CH3CN,,-1.47,,5.1,radical
129,,,C[C-](C1=CC=CC=C1)N(C)C,CH3CN,,-1.53,,1,anion
130,,,C[C](C1=CC=CC=C1)N(C)C,CH3CN,,-0.82,,5.4,radical
131,,,CC(=O)N[CH2-],CH3CN,,-1.45,,0.75,anion
132,,LHYDFMAQJSJQFM-UHFFFAOYSA-N,CC(=O)N[CH2],CH3CN,,0.36,,7.26,radical
133,,,[CH2-]O,CH3CN,,-1.55,,0.07,anion
134,,CBOIHMRHGLHBPB-UHFFFAOYSA-N,[CH2]O,CH3CN,,0.49,,7.97,radical
135,propan-2-ol,MHSVKHQUDMMODH-UHFFFAOYSA-N,C[C-](C)O,CH3CN,,-1.81,,0.13,anion
136,,,C[C](C)O,CH3CN,,-0.42,,6.5,radical
137,,,C[C-](C1=CC=CC=C1)O,CH3CN,,-1.59,,0.87,anion
138,,,C[C](C1=CC=CC=C1)O,CH3CN,,0.02,,6.45,radical
139,Methanidyloxymethane,WIPUDUWIDIAUPY-UHFFFAOYSA-N,CO[CH2-],CH3CN,,-1.48,,0.18,anion
140,,AFGPRWUFPLEMTF-UHFFFAOYSA-N,CO[CH2],CH3CN,,0.35,,7.38,radical
141,dimethoxymethane,IJLLVMKZQUARBE-UHFFFAOYSA-N,CO[CH-]OC,CH3CN,,-1.37,,0.04,anion
142,,JKUHKVPEEJVUQA-UHFFFAOYSA-N,CO[CH]OC,CH3CN,,-0.64,,6.07,radical
143,,,CC(=O)O[CH2-],CH3CN,,-1.21,,0.86,anion
144,,BKBTVUZFFQZFAC-UHFFFAOYSA-N,CC(=O)O[CH2],CH3CN,,0.85,,7.55,radical
145,ethene,IEARPTNIYZTWOZ-UHFFFAOYSA-N,C=[CH-],CH3CN,,-0.61,,0.96,anion
146,,ORGHESHFQPYLAO-UHFFFAOYSA-N,C=[CH],CH3CN,,1.63,,8.97,radical
147,2-methylprop-1-ene,JNEDADBNNSGPGW-UHFFFAOYSA-N,CC(=[CH-])C,CH3CN,,-0.77,,1.01,anion
148,,,CC(=[CH])C,CH3CN,,0.46,,7.31,radical
149,2-methylbut-2-ene,PLFKOCWHCXWUGK-UHFFFAOYSA-N,C[C-]=C(C)C,CH3CN,,-1.15,,0.79,anion
150,,QEDJNWQOUQRANM-UHFFFAOYSA-N,C[C]=C(C)C,CH3CN,,0.55,,7.22,radical
151,ethyne,BLRXYTIIKIPJQL-UHFFFAOYSA-N,C#[C-],CH3CN,,1.35,,3.04,anion
152,,XEHVFKKSDRMODV-UHFFFAOYSA-N,C#[C],CH3CN,,1.98,,9.04,radical
153,ethynylbenzene,VTCGBWWEIFSKFD-UHFFFAOYSA-N,[C-]#CC1=CC=CC=C1,CH3CN,,1.38,,3.34,anion
154,,,[C]#CC1=CC=CC=C1,CH3CN,,2.6,,9.33,radical
