SMILE,SRP
C1=CC(=C(C=C1C(=O)O)O)O,0.119
CC(CN1C2=CC=CC=C2S(=O)(=O)C3=CC=CC=C31)N(C)C,0.701
C1=CC=C(C=C1)CNC(=O)CN2C=CN=C2[N+](=O)[O-],-0.38
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,-0.448
C1=C[N+](=CC=C1C2=CC=[N+](C=C2)CCCl)CCCl,-0.335
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],0.4
C1=CC=C2C(=C1)C=CC4=C2SC3=CC=CC=C3N4,0.628
C1=CC=C2C(=C1)C=CC(=N2)C=CC=CC3=CC=C(O3)[N+](=O)[O-],-0.265
C1=CC=C2C(=C1)C=CC(=N2)C=CC3=CC=C(O3)[N+](=O)[O-],-0.276
C1(=C[N+]3=C(C=C1C)C2=[N+](C=C(C(=C2)C)C)CC3)C,-0.613
[C](O)(C1=CC=CC=C1)C,0.0
C1=CN(C(=N1)[N+](=O)[O-])CC(CO)O,-0.389
CC1=C(C=C(C(=C1)O)C)O,0.98
[CH2-]C1=CC=C(C=C1)Cl,-1.16
C1=CC=[C-]C=C1,-0.29
CCSCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC,-0.428
C1=CN(C(=N1)[N+](=O)[O-])CC(CCl)O,-0.384
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCC[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C,-0.33
CCOC(C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC(OCC)OCC)OCC,-0.373
CC(C)CN1C=NC2=C1N=C(N=C2SC3=C(N=CN3C)[N+](=O)[O-])N,-0.503
CCN(CC)C(=O)C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC(=O)N(CC)CC,-0.318
CN1C(=CN=C1S(=O)(=O)C)[N+](=O)[O-],-0.351
CN1C(=CN=C1[N+](=O)[O-])C(CO)O,-0.396
C1=CC(=CC=C1CO)[N+](=O)[O-],-0.477
CCCCCCCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCCCCCC,-0.451
