,SMILE,ph,SRP,solvent_-,solvent_1 M H2SO4,solvent_CH2Cl2,solvent_CH3CN,solvent_H2O,solvent_MeCN,solvent_PBS buffer,solvent_iso-propyl alcohol,type_anion,type_neutral,type_radical
813,C1C(=O)C(=O)NC(=O)N1,7.0,0.132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
404,C1(=C(C=C(C(=C1)[N+](=O)[O-])N2CC2)C(=O)NCC(OC)OC)[N+](=O)[O-],7.0,-0.384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
59,CC1=CC([O])C=C(C1[O-])C,7.0,-0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
321,C1CO[CH]O1,7.0,0.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
810,C1=CNC(=O)NC1=O,7.0,0.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
781,C1=C(C=C(C=C1O)O)C(=O)O,7.0,0.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
706,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC#[S]N=O,7.0,-0.371,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
644,C1=C[N+](=CC=C1C2=CC=[N+](C=C2)CCN)CCN,7.0,-0.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
300,C[C](C)C1=CC=CC=C1,7.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CC(=O)N,7.0,0.454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
244,[O]C1=CC=CC2=C1C(C3=C(NCCNCCO)C=CC4=C3C2=NN4CCNCCO)[O-],7.0,-0.538,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
155,ClCC1=CC(C(C=CC2[O])[O-])=C2C=C1,7.67,-0.094,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
360,CC1=CC(=O)C2=C(N(C(=C2C1=O)C)C)C3=CC=CC=C3,7.0,-0.423,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
