SMILE,SRP
CC1=CC(O)C=C(C1O)C,0.142
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,0.187
[CH2-]C1=CC=C(C=C1)Cl,-1.16
CN1C=NC(=C1OC2=CC=C(C=C2)O)[N+](=O)[O-],-0.565
[CH2]O,-0.92
C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CO,0.429
[O]C1C2=CC=CC=C2C([O-])C3=C(O)C=CC(N)=C13,-0.408
C1=CC=C(C(=C1)C#N)[N+](=O)[O-],-0.308
COC1=CC2=C(C=C1)NC3=C(S2)C=CC(=C3)Cl,0.662
CC1=C(N)C(C2=C(N3C[C@H]4[C@H](N4)[C@]3(OC)[C@@H]2COC(N)=O)C1O)O,-0.368
CN1C=C(N=C1I)[N+](=O)[O-],-0.521
C1=C[N+](=CC=C1C2=CC=[N+](C=C2)CC(=O)O)CC(=O)O,-0.444
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,0.208
C1=C(C(=CC(=C1S(=O)(=O)O)O)S(=O)(=O)O)O,0.116
C1CS(=O)(=O)C2=C(N=CN21)[N+](=O)[O-],-0.335
C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CNC2=CC=CC=C21)N,0.0
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3O,-0.385
C1=CC(=CC=C1[N+]2=CC=C(C=C2)C3=CC=[N+](C=C3)C4=CC=C(C=C4)[N+](=O)[O-])[N+](=O)[O-],-0.15
CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)N(C(=O)N3)C,-0.535
CC1(CC(CC(N1O)(C)C)NCC(CN2C=CN=C2[N+](=O)[O-])O)C,-0.355
CC1=C(SC[C@H](NC(CC[C@H](N)C(O)=O)=O)C(NCC(O)=O)=O)C(C2=CC=CC=C2C1[O])[O-],-0.195
C1=CC(=C(C(=C1)O)O)O,-0.009
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.762
C1=CC=C2C(=C1)C(=CN2)CC(=O)O,0.84
CC(C)(C)C1=CC(O)C=CC1O,-0.075
C1=CC(=CC(=C1)O)O,0.385
CN1C=NC(=C1S(=O)(=O)OC2=CC=CC3=CC=CC=C32)[N+](=O)[O-],-0.34
CC1=C(NC2=CC=CC=C12)C,0.78
C1=CC(=C(C=C1CC(=O)O)O)O,0.021
C1=CC(=CC(=C1)O)O,0.81
C1=CC=CC2=C1C(=C3C(=N2)C=CC=C3)N(C4C=CC(C=C4N(C)C)=O)[H],-0.01
CC1=C(C(O)C(=CC1O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C,0.11
CN1C=NC(=C1S(=O)(=O)OC2=CC=CC=C2OC)[N+](=O)[O-],-0.365
CC1=C(C([O-])C(=C(C1[O])OC)OC)CCCCCCCCCC[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,-0.105
C1=CC=C2C(=C1)C=CC(=O)C2=O,-0.089
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Fe+2],1.147
C1=CC3=C(C=C1OC)SC2=C(C=CC(=C2)OC)N3,0.475
C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)CCCCCC[N](CC)(CC)CC,0.864
CC1=NC=C(N1CCNC(=O)S)[N+](=O)[O-],-0.498
CN1C(=CN=C1C=O)[N+](=O)[O-],-0.36
C1CS(=O)(=O)C2=NC=C(N21)[N+](=O)[O-],-0.342
CCOC(=O)NC1=C(C([O-])C(=C(C1[O])N2CC2)NC(=O)OCC)N3CC3,-0.228
C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1O,0.044
C1=CN=C([N]1CCOC(C)=O)[N+](=O)[O-],-0.42
CC1=CC=C[C-]1[Fe+2][C-]1C(C)=CC(=C1),1.057
C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,1.153
CC1=C(C(=O)C=CC1=O)C,-0.074
CC1=C(C/C=C(CCCC(CCCC(CCCC(C)C)C)C)\C)C(C2=CC=CC=C2C1O)O,-0.06
C1=CC(=C(C=C1O)O)O,-0.11
CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3,-0.502
CC1=[N+](C=CC(=C1)C2=CC(=[N+](C=C2)C#N)C)C#N,-0.14
C1=CC=C(C(=C1)O)O,1.06
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3N,-0.435
C1(=C(C=CC(=C1)O)O)COC,0.118
CN1C=CC2=CC=CC=C21,1.23
C1(=C[N+]3=C(C=C1)C2=[N+](C=CC=C2)CC3)C(=O)OC,-0.14
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3O,-0.415
O=[N](=O)C1=NC=C[N]1CCNC2=CC=CC=C2,-0.398
CC1=CC2=[N+](CCC[N+]3=C2C=C(C=C3)C)C=C1,-0.691
C[N+]1=CC3=C(C=C1)C2=C[N+](=CC=C2C=C3)C,-0.44
C[N+]1=C(C=C(C=C1)C2=CC(=[N+](C=C2)C)C#N)C#N,0.09
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],-0.345
CCOC(=O)C1=CC(=C(C(=C1)O)O)O,-0.054
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC3=CC=CC=C3,-0.408
CCOC(=O)NC1=C(C(=O)C(=C(C1=O)N2CC2)NC(=O)OCC)N3CC3,-0.168
C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,0.282
C1=CC=C[C-]1[Fe+2][C-]2C=CC(=C2)COCCO,0.449
O=C(O)CCC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,0.334
CN1C(=CN=C1[N+](=O)[O-])C=[N+](C)[O-],-0.282
COC(=O)C1=CC(=C(C(=C1)O)O)O,0.098
COCC(CN1C=NC(=C1I)[N+](=O)[O-])O,-0.497
CC1=NC(=CN1C)[N+](=O)[O-],-0.542
CC(C)(C1=CN=C(N1C)[N+](=O)[O-])O,-0.412
C1=CC=C(C(=C1)C=O)[N+](=O)[O-],-0.355
CC1=C(N)C(C2=C(N3C[C@H]4[C@H](N4)[C@]3(OC)[C@@H]2COC(N)=O)C1O)O,0.055
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3N,-0.48
CC1=[N+](C(=CC(=C1)C2=CC(=[N+](C(=C2)C)CCC[S](=O)(=O)[O-])C)C)CCC[S](=O)(=O)[O-],-0.54
[O-][Ru](=O)(=O)[O-],0.59
CN([CH2])C1=CC=CC=C1,-0.61
CN1C=NC(=C1[N+](=O)[O-])S(=O)(=O)OC2=CC=CC=C2,-0.259
C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CCCC(=O)N,0.349
C1=C(C=C(C(=C1O)O)O)C(=O)O,0.45
C1=CC=C[C-]1[Fe+2][C-]1C=CC(=C1)CCCN,0.379
CCCNCCNC1=C2C(=C(C=C1)NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O,-0.527
CC1=C(N)C(C2=C(N3C[C@H]4[C@H](N4)[C@]3(OC)[C@@H]2COC(N)=O)C1[O-])[O],-0.31
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,-0.448
CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C,0.022
C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Ru+2],2.55
CN1C=NC(=C1[N+](=O)[O-])S(=O)(=O)N,-0.336
C1=CC=C2C(=C1)C(=O)C=C(C2=O)S(=O)(=O)O,-0.06
C1(=CN=C([N]1C)[N+](=O)[O-])C=C(C#N)C#N,-0.24
C1(=CC=C(C2=NSN=C12)C#N)C#N,-0.49
CC1=NC(=CN1CC(COC)O)[N+](=O)[O-],-0.564
[O-]C1C=CC([O])C2=C(C3=CC=CC=C3)N(CCC4)C4=C12,-0.427
CC1=C(C2=C(N1C)C([O])C=C(C2[O-])N3CCN(CC3)C)C(C)O,-0.285
C1CN1C2=C(C([O])C(=C(C2[O-])NCCO)N3CC3)NCCO,-0.383
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[V+2],0.14
