SMILE,solvent,type,ph,SRP
COC1=CC(=CC(=C1)O)O,H2O,neutral,3.5,0.53
COC1=CC(=CC(=C1)O)O,H2O,neutral,0.0,0.85
COC1=CC(=CC(=C1)O)O,H2O,neutral,7.0,1.06
C1=C(C(=CC(=C1S(=O)(=O)[O-])O)S(=O)(=O)[O-])O,H2O,neutral,12.9,0.116
COC1=C(C=CC(=C1)O)O,H2O,neutral,13.5,-0.085
CC(=O)C1=C(C=CC(=C1)O)O,H2O,neutral,13.5,0.118
C1=CC(=C(C=C1O)CC(=O)O)O,H2O,neutral,13.5,-0.5
C1=CC(=C(C=C1O)C(=O)O)O,H2O,neutral,13.5,0.033
[O]C1C(Cl)=CC([O-])C(Cl)=C1,H2O,anion,7.0,0.47
OC1C(Cl)=CC(O)C(Cl)=C1,H2O,neutral,7.0,0.617
OC1C(Cl)=CC(O)C(Cl)=C1,H2O,neutral,7.0,0.544
[O-]C1C(Cl)=C(Cl)C([O])C(Cl)=C1Cl,H2O,anion,7.0,0.65
C1CN1C2=C(C([O-])C(=C(C2[O])Br)N3CC3)Br,H2O,anion,7.0,0.032
C1CN1C2=C(C([O-])C(=C(C2[O])Cl)N3CC3)Cl,H2O,anion,7.0,0.051
C1CN1C2=C(C([O-])C(=C(C2[O])F)N3CC3)F,H2O,anion,7.0,0.09
[O]C1C=CC2=CC=CC=C2C1[O-],iso-propyl alcohol,anion,7.0,0.068
[O]C1C=CC2=CC=CC=C2C1[O-],H2O,anion,7.8,-0.089
C1=CC=C2C([O])C=CC([O-])C2=C1,iso-propyl alcohol,anion,7.0,0.05
C1=CC=C2C([O])C=CC([O-])C2=C1,H2O,anion,7.8,-0.14
[O-]C(C=CC1[O])C2=C1C=CC=C2O,H2O,anion,7.0,-0.093
[O]C1C=C(O)C2=CC=CC=C2C1[O-],iso-propyl alcohol,anion,7.0,-0.139
[O]C1C=C(O)C2=CC=CC=C2C1[O-],H2O,anion,7.0,-0.415
C1=CC(=C2C([O])C=CC([O-])C2=C1O)O,H2O,anion,7.0,-0.11
[O]C1C2=CC=CC=C2C([O-])C(S(=O)([O-])=O)=C1,H2O,anion,7.0,-0.06
OC1C2=CC=CC=C2C(O)C(S(=O)([O-])=O)=C1,H2O,neutral,7.0,0.3
OC1C2=CC=CC=C2C(O)C(S(=O)([O-])=O)=C1,H2O,neutral,7.0,0.12
CC1=CC(C2=CC=CC=C2C1[O-])[O],H2O,anion,7.0,-0.335
CC1=CC(C2=CC=CC=C2C1O)O,H2O,neutral,7.0,0.193
CC1=CC(C2=CC=CC=C2C1O)O,H2O,neutral,7.0,-0.005
CC1=CC(C2=C(C=CC=C2O)C1[O-])[O],H2O,anion,7.0,-0.156
[O]C1C2=CC=CC=C2C([O-])C(CO)=C1,H2O,anion,7.67,-0.152
COCC1=CC(C2=CC=CC=C2C1[O-])[O],H2O,anion,7.67,-0.129
CC(OCC1=CC(C2=CC=CC=C2C1[O-])[O])=O,H2O,anion,7.67,-0.106
[O]C1C2=CC=CC=C2C([O-])C(COC(NCCCl)=O)=C1,H2O,anion,7.67,-0.122
BrCC1=CC(C(C=CC2[O])[O-])=C2C=C1,H2O,anion,7.67,-0.092
ClCC1=CC(C(C=CC2[O])[O-])=C2C=C1,H2O,anion,7.67,-0.094
CC(OCC1=CC2=C(C(C=CC2[O-])[O])C=C1)=O,H2O,anion,7.67,-0.094
CNC(OCC1=CC2=C(C(C=CC2[O-])[O])C=C1)=O,H2O,anion,7.67,-0.099
CC1=C(C)C(C2=CC=CC=C2C1[O-])[O],H2O,anion,7.0,-0.24
COC1=C(OC)C(C2=CC=CC=C2C1[O])[O-],H2O,anion,7.0,-0.24
C1=CC=C2C(=C1)C([O-])C(=C(C2[O])Cl)Cl,H2O,anion,7.0,-0.036
[O]C1C2=CC=CC=C2C([O-])C(SCC(NC(CCC(N)C(O)=O)=O)C(NCC(O)=O)=O)=C1,H2O,anion,7.0,-0.132
CC1=C(SC[C@H](NC(CC[C@H](N)C(O)=O)=O)C(NCC(O)=O)=O)C(C2=CC=CC=C2C1[O])[O-],H2O,anion,7.67,-0.192
CC1=C(SC[C@H](NC(CC[C@H](N)C(O)=O)=O)C(NCC(O)=O)=O)C(C2=CC=CC=C2C1[O])[O-],H2O,anion,7.0,-0.195
[O-]C1C2=CC=CC=C2C([O])C(SCC(NC(CCC(N)C(O)=O)=O)C(NCC(O)=O)=O)=C1SCC(NC(CCC(N)C(O)=O)=O)C(NCC(O)=O)=O,H2O,anion,7.0,-0.15
