SMILE,solvent,type,ph,SRP
CC1=CC(=O)C(=CC1=O)C,H2O,neutral,7.0,-0.067
CC1=CC(=O)C=C(C1=O)C,H2O,neutral,7.0,-0.08
CC1=CC(=O)C(=C(C1=O)C)C,H2O,neutral,7.0,-0.165
CC1=C(C(=O)C(=C(C1=O)C)C)C,H2O,neutral,7.0,-0.26
C1CN1C2=C(C(=O)C(=C(C2=O)NCCO)N3CC3)NCCO,H2O,neutral,7.0,-0.383
CCOC(=O)NC1=C(C(=O)C(=C(C1=O)N2CC2)NC(=O)OCC)N3CC3,H2O,neutral,7.0,-0.168
C1=CC=C2C(=C1)C=CC(=O)C2=O,H2O,neutral,7.0,-0.089
C1=CC=C2C(=O)C=CC(=O)C2=C1,H2O,neutral,7.0,-0.14
C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,H2O,neutral,7.0,-0.093
C1=CC(=C2C(=O)C=CC(=O)C2=C1O)O,H2O,neutral,7.0,-0.11
C1=CC=C2C(=C1)C(=O)C=C(C2=O)S(=O)(=O)O,H2O,neutral,7.0,-0.06
CC1=CC(=O)C2=CC=CC=C2C1=O,H2O,neutral,7.0,-0.203
C1=CC=C2C(=C1)C(=O)C=C(C2=O)CO,H2O,neutral,7.0,-0.152
COCC1=CC(=O)C2=CC=CC=C2C1=O,H2O,neutral,7.0,-0.129
CC(=O)OCC1=CC(=O)C2=CC=CC=C2C1=O,H2O,neutral,7.0,-0.1
C1=CC=C2C(=C1)C(=O)C=C(C2=O)COC(=O)NCCCl,H2O,neutral,7.0,-0.122
C1=CC2=C(C=C1CBr)C(=O)C=CC2=O,H2O,neutral,7.0,-0.092
C1=CC2=C(C=C1CCl)C(=O)C=CC2=O,H2O,neutral,7.0,-0.094
CC(=O)OCC1=CC2=C(C=C1)C(=O)C=CC2=O,H2O,neutral,7.0,-0.094
CNC(=O)OCC1=CC2=C(C=C1)C(=O)C=CC2=O,H2O,neutral,7.0,-0.099
CC1=C(C(=O)C2=CC=CC=C2C1=O)C,H2O,neutral,7.0,-0.24
CC1=C(C(=O)C2=CC=CC=C2C1=O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N,H2O,neutral,7.0,-0.192
CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C,H2O,neutral,7.0,-0.17
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)S(=O)(=O)[O-],H2O,neutral,7.0,-0.39
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)S(=O)(=O)[O-])O,H2O,neutral,7.0,-0.27
C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)O,H2O,neutral,7.0,-0.249
CCCNCCNC1=C2C(=C(C=C1)NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O,H2O,neutral,7.0,-0.527
C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCOC(=O)O)NCCNCCOC(=O)O,H2O,neutral,7.0,-0.348
C2(C1=C(C)N(C(=C1C(C=C2)=O)C3=CC=CC=C3)C)=O,H2O,neutral,7.0,-0.44
CC1=CC(=O)C2=CN3CCCC3=C2C1=O,H2O,neutral,7.0,-0.42
CC1=CC(=O)C2=C(N(C(=C2C1=O)C)C)C3=CC=CC=C3,H2O,neutral,7.0,-0.423
C1CC2=C3C(=O)C=CC(=O)C3=C(N2C1)C4=CC=CC=C4,H2O,neutral,7.0,-0.427
C2(C1=C([N](C=C1C(C=C2)=O)C)C3=CC=CC=C3)=O,H2O,neutral,7.0,-0.419
C2(C1=C3[N](C(=C1C(C=C2)=O)C)CCC3)=O,H2O,neutral,7.0,-0.438
C2(C1=C4[N](C(=C1C(C(=C2C)C)=O)C3=CC=CC=C3)CCC4)=O,H2O,neutral,7.0,-0.435
C2(C1=C[N](C(=C1C(C(=C2C)C)=O)C)C)=O,H2O,neutral,7.0,-0.452
CCOC(=O)C1=C2C(=O)C=C(C(=O)C2=C3N1CCC3)C,H2O,neutral,7.0,-0.368
CCOC(=O)C1=C2C(=O)C=C(C(=O)C2=C(N1C)C3=CC=CC=C3)C,H2O,neutral,7.0,-0.366
C2(C1=C([N]3C(=C1C(C(=C2C)OC)=O)CCC3)C(OCC)=O)=O,H2O,neutral,7.0,-0.383
CN1CC(C2=CC(=O)C(=O)C=C21)O,H2O,neutral,7.0,-0.253
C1=CC2=C(C(=C1)N)C(=O)N=NC2=O,H2O,neutral,7.0,0.24
C1=CC=C2C(=C1)C3C=CC=CC3C(=O)C2=O,H2O,neutral,7.0,-0.124
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,H2O,neutral,7.0,-0.292
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,H2O,neutral,7.0,-0.305
C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)[O-])O,H2O,neutral,7.0,-0.247
CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,H2O,neutral,7.0,-0.271
C1(C=C(C(C(=C1)C)=O)Br)=C2C=C(C(C(=C2)Br)=O)Br,H2O,neutral,7.0,0.26
C1=C(C(=O)C(=CC1=C2C=C(C(=O)C(=C2)Cl)Cl)Cl)Cl,H2O,neutral,7.0,0.26
C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O,H2O,neutral,7.0,-0.114
C1=CC=C(C4=C1C2=NN(C3=CC=C(C(C23)C4=O)NCCNCCO)CCNCCO)O,H2O,neutral,7.0,-0.538
COC1=CC(=O)C=CC1NC2=C3C=CC=CC3=NC4=CC=CC=C42,H2O,neutral,7.0,0.085
C1=CC=CC2=C1C(=C3C(=N2)C=CC=C3)N(C4C=CC(C=C4N(C)C)=O)[H],H2O,neutral,7.0,-0.01
C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.287
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.345
C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.257
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,H2O,neutral,7.0,-0.345
C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)[N+](=O)[O-],H2O,neutral,7.0,-0.272
C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.271
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,H2O,neutral,7.0,-0.344
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,H2O,neutral,7.0,-0.5
CC(=O)C1=CC(=CC=C1)[N+](=O)[O-],H2O,neutral,7.0,-0.437
CC(=O)C1=CC=C(C=C1)[N+](=O)[O-],H2O,neutral,7.0,-0.358
C1=CC=C(C=C1)[N+](=O)[O-],H2O,neutral,7.0,-0.486
C1=CC=C(C(=C1)C=O)[N+](=O)[O-],H2O,neutral,7.0,-0.355
C1=CC(=CC=C1C=O)[N+](=O)[O-],H2O,neutral,7.0,-0.322
C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],H2O,neutral,7.0,-0.412
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,H2O,neutral,7.0,-0.433
C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],H2O,neutral,7.0,-0.396
C1=CC=C(C(=C1)C#N)[N+](=O)[O-],H2O,neutral,7.0,-0.308
C1=CC(=CC=C1CO)[N+](=O)[O-],H2O,neutral,7.0,-0.477
C1=CC(=CC=C1C(CCN(C)C)=O)[N+](=O)[O-],H2O,neutral,7.0,-0.315
C1CN1C2=C(C=C(C(=C2)C(=O)N)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.385
CNC(=O)C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N2CC2,H2O,neutral,7.0,-0.387
CN(C)C(=O)C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N2CC2,H2O,neutral,7.0,-0.377
C1(=C(C=C(C(=C1)[N+](=O)[O-])N2CC2)C(=O)NCC(OC)OC)[N+](=O)[O-],H2O,neutral,7.0,-0.384
C1=C(C(=CC(=C1N)[N+](=O)[O-])[N+](=O)[O-])C(=O)N,H2O,neutral,7.0,-0.46
C1(=C(C=C(C(=C1)[N+](=O)[O-])N(C)C)C(=O)N([H])[H])[N+](=O)[O-],H2O,neutral,7.0,-0.464
C1CN1C2=C(C=C(C(=C2)C(=O)N)N)[N+](=O)[O-],H2O,neutral,7.0,-0.515
C1=C(OC(=C1)[N+](=O)[O-])C(=O)O,H2O,neutral,7.0,-0.317
C1=C(OC(=C1)[N+](=O)[O-])/C=N\O,H2O,neutral,7.0,-0.253
COCC1=CC=C(O1)[N+](=O)[O-],H2O,neutral,7.0,-0.338
C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,H2O,neutral,7.0,-0.257
C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],H2O,neutral,7.0,-0.264
CN1CCN(CC1)CC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],H2O,neutral,7.0,-0.214
C1=CC=C2C(=C1)C=CC(=N2)C=CC3=CC=C(O3)[N+](=O)[O-],H2O,neutral,7.0,-0.276
C1=CC=C2C(=C1)C=CC(=N2)C=CC=CC3=CC=C(O3)[N+](=O)[O-],H2O,neutral,7.0,-0.265
CCCCNC(=O)C1=CC=C(O1)[N+](=O)[O-],H2O,neutral,7.0,-0.23
C1=CN=C(N1)[N+](=O)[O-],H2O,neutral,7.0,-0.418
C1=C(NC=C1[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.445
C1=C(NC(=N1)[N+](=O)[O-])CN,H2O,neutral,7.0,-0.267
C1=C(NC(=N1)[N+](=O)[O-])C=O,H2O,neutral,7.0,-0.243
CN1C(=CN=C1[N+](=O)[O-])C(=O)[O-],H2O,neutral,7.0,-0.385
CN1C(=CN=C1[N+](=O)[O-])C(=O)N,H2O,neutral,7.0,-0.321
CN1C(=CN=C1[N+](=O)[O-])CO,H2O,neutral,7.0,-0.4
CN1C(=CN=C1[N+](=O)[O-])C=C,H2O,neutral,7.0,-0.392
CN1C(=CN=C1[N+](=O)[O-])C(=O)OC,H2O,neutral,7.0,-0.3
CN1C(=CN=C1[N+](=O)[O-])C=[N+](C)[O-],H2O,neutral,7.0,-0.282
CN1C(=CN=C1[N+](=O)[O-])C(CO)O,H2O,neutral,7.0,-0.396
CC(C)C1=CN=C(N1C)[N+](=O)[O-],H2O,neutral,7.0,-0.439
CC(C)(C1=CN=C(N1C)[N+](=O)[O-])O,H2O,neutral,7.0,-0.412
CN1C(=CN=C1[N+](=O)[O-])C=NN(C)C,H2O,neutral,7.0,-0.386
C1(=CN=C([N]1C)[N+](=O)[O-])C=C(C#N)C#N,H2O,neutral,7.0,-0.24
C1(=CN=C([N]1C)[N+](=O)[O-])C(OC(C)=O)OC(C)=O,H2O,neutral,7.0,0.35
CN1C(=CN=C1[N+](=O)[O-])C=NN2CCOCC2,H2O,neutral,7.0,-0.366
C1(=CN=C([N]1C)[N+](=O)[O-])C(=NN2CCNCC2)[H],H2O,neutral,7.0,-0.354
C1(=CN=C([N]1C)[N+](=O)[O-])C(=NN2CCCCC2)[H],H2O,neutral,7.0,-0.376
C1=CN(C(=N1)[N+](=O)[O-])CC(=O)O,H2O,neutral,7.0,-0.447
C1=CN(C(=N1)[N+](=O)[O-])CCO,H2O,neutral,7.0,-0.398
C1=C(N=C(N1CCO)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.238
CC1=CN=C(N1CCO)[N+](=O)[O-],H2O,neutral,7.0,-0.423
CC(=O)CN1C=CN=C1[N+](=O)[O-],H2O,neutral,7.0,-0.358
COC(=O)CN1C=CN=C1[N+](=O)[O-],H2O,neutral,7.0,0.355
C1=CN(C(=N1)[N+](=O)[O-])CC(CCl)O,H2O,neutral,7.0,-0.384
C1=CN(C(=N1)[N+](=O)[O-])CC(CF)O,H2O,neutral,7.0,-0.383
COCCN1C=CN=C1[N+](=O)[O-],H2O,neutral,7.0,-0.393
C1=CN(C(=N1)[N+](=O)[O-])CC(CO)O,H2O,neutral,7.0,-0.389
CS(=O)(=O)CCN1C=CN=C1[N+](=O)[O-],H2O,neutral,7.0,-0.368
C1=CN=C([N]1CCOC(C)=O)[N+](=O)[O-],H2O,neutral,7.0,-0.42
CCCNC(=O)CN1C=CN=C1[N+](=O)[O-],H2O,neutral,7.0,-0.388
CCOC(=O)CN1C=CN=C1[N+](=O)[O-],H2O,neutral,7.0,-0.388
CCOCCN1C=CN=C1[N+](=O)[O-],H2O,neutral,7.0,-0.4
CCCC(CN1C=CN=C1[N+](=O)[O-])O,H2O,neutral,7.0,-0.389
CCS(=O)(=O)CCN1C=CN=C1[N+](=O)[O-],H2O,neutral,7.0,-0.368
C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCC(CO)O,H2O,neutral,7.0,-0.392
C=CCOCC(CN1C=CN=C1[N+](=O)[O-])O,H2O,neutral,7.0,-0.391
C1=CN(C(=N1)[N+](=O)[O-])CC(=O)N(CCO)CCO,H2O,neutral,7.0,-0.398
C1=CC=C(C=C1)OCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.391
C1=CC=C(C=C1)S(=O)(=O)CCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.367
C1=CC=C(C=C1)CNC(=O)CN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.38
C1=CC=C(C=C1)OCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.409
C1=CN=C([N]1CC(COC(CCl)COC(C)C)O)[N+](=O)[O-],H2O,neutral,7.0,-0.395
C1COCCN1CCN2C=NC=C2[N+](=O)[O-],H2O,neutral,7.0,-0.39
C1=CN=C([N]1CC[N+]2(CCOCC2)C)[N+](=O)O[H],H2O,neutral,7.0,-0.318
C1=CN=C([N]1CCCN2CCOCC2)[N+](=O)[O-],H2O,neutral,7.0,-0.386
C1COCCN1CCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.396
C1=CN=C([N]1CCCC[N+]2(CCOCC2)C)[N+](=O)O[H],H2O,neutral,7.0,-0.379
C1COCCN1CCCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.399
C1COCCN1CCCCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.379
C1COCCN1CCCCCCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.388
C1COCCN1CCCCCCCCCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.403
C1=CN=C([N+](=O)[O-])[N]1CCN2CCCC2,H2O,neutral,7.0,-0.334
C1CCN(C1)CCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.389
C1CCN(CC1)CCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.325
C1=CN=C([N]1CCCN2CCCCC2)[N+](=O)[O-],H2O,neutral,7.0,-0.353
C1CCN(CC1)CCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,7.0,-0.386
O=[N](=O)C1=NC=C[N]1CCNC2CCNCC2,H2O,neutral,7.0,-0.399
O=[N](=O)C1=NC=C[N]1CCNC2=NC=CC=C2,H2O,neutral,7.0,-0.395
O=[N](=O)C1=NC=C[N]1CCNC2=CC=CC=C2,H2O,neutral,7.0,-0.398
CC(C)N(CC[N]1C=CN=C1([N+]([O-])=O)C(C)C,H2O,neutral,7.0,-0.272
O=[N](=O)C1=NC=C[N]1CC(O)CN2CC2,H2O,neutral,7.0,-0.398
CN(C)CC(CN1C=CN=C1[N+](=O)[O-])O,H2O,neutral,7.0,-0.351
C1=CN(C(=N1)[N+](=O)[O-])CC(CN(CCO)CCO)O,H2O,neutral,7.0,-0.369
CC(C)(C)CN(CC(O)C[N]1C=CN=C1([N+]([O-])=O)C(C)(C)C,H2O,neutral,7.0,-0.348
C1=CC=C(C=C1)CNCC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,7.0,-0.353
COC1=CC=C(C=C1)NCC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,7.0,-0.391
COC1=CC=C(C=C1)CNCC(O)C[N]2C=CN=C2[N](=O)=O,H2O,neutral,7.0,-0.35
CC1(CC(CC(N1O)(C)C)NCC(CN2C=CN=C2[N+](=O)[O-])O)C,H2O,neutral,7.0,-0.355
CC1(CC(CC(N1)(C)C)NCC(CN2C=CN=C2[N+](=O)[O-])O)C,H2O,neutral,7.0,-0.361
C1CCN(CC1)CC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,7.0,-0.346
C1CC(CN(C1)CC(CN2C=CN=C2[N+](=O)[O-])O)O,H2O,neutral,7.0,-0.357
C1COCCN1CC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,7.0,-0.38
CN1CCN(CC1)CC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,7.0,-0.37
C1=NC(=C(N1)[N+](=O)[O-])I,H2O,neutral,7.0,-0.503
CC1=NC(=CN1C)[N+](=O)[O-],H2O,neutral,7.0,-0.542
CN1C=NC(=C1Br)[N+](=O)[O-],H2O,neutral,7.0,-0.523
CN1C=NC(=C1I)[N+](=O)[O-],H2O,neutral,7.0,-0.529
CN1C=NC(=C1S)[N+](=O)[O-],H2O,neutral,7.0,-0.538
CN1C=NC(=C1S(=O)(=O)N)[N+](=O)[O-],H2O,neutral,7.0,-0.395
CN1C=NC(=C1S(=O)(=O)C)[N+](=O)[O-],H2O,neutral,7.0,-0.355
CN1C=NC(=C1SCC(=O)O)[N+](=O)[O-],H2O,neutral,7.0,-0.545
CN1C=NC(=C1S(=O)(=O)N(C)C)[N+](=O)[O-],H2O,neutral,7.0,-0.409
CC(=O)NS(=O)(=O)C1=C(N=CN1C)[N+](=O)[O-],H2O,neutral,7.0,-0.523
CN(C)CN[S](=O)(=O)C1=C([N+]([O-])=O)N=C[N]1C,H2O,neutral,7.0,-0.402
CN1C=NC(=C1S(=O)(=O)N2CCOCC2)[N+](=O)[O-],H2O,neutral,7.0,-0.406
CN1C=NC(=C1S(=O)(=O)NCN2CCOCC2)[N+](=O)[O-],H2O,neutral,7.0,-0.394
CN1C=NC(=C1OC2=CC=CC=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.56
CN1C=NC(=C1OC2=CC=C(C=C2)O)[N+](=O)[O-],H2O,neutral,7.0,-0.565
CN1C=NC(=C1S(=O)(=O)C2=CC=CC=C2)[N+],H2O,neutral,7.0,-0.376
CN1C=NC(=C1S(=O)(=O)OC2=CC=CC=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.342
CN1C=NC(=C1S(=O)(=O)OC2=CC=C(C=C2)Cl)[N+](=O)[O-],H2O,neutral,7.0,-0.345
CN1C=NC(=C1S(=O)(=O)OC2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.302
CN1C=NC(=C1S(=O)(=O)NC2=CC=CC=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.398
CN1C=NC(=C1S(=O)(=O)NC2=CC=CC=C2Cl)[N+](=O)[O-],H2O,neutral,7.0,-0.444
CC1=CC=CC=C1NS(=O)(=O)C2=C(N=CN2C)[N+](=O)[O-],H2O,neutral,7.0,-0.426
CN1C=NC(=C1S(=O)(=O)OC2=CC=CC=C2OC)[N+](=O)[O-],H2O,neutral,7.0,-0.365
CN1C=NC(=C1S(=O)(=O)OC2=CC=C(C=C2)OC)[N+](=O)[O-],H2O,neutral,7.0,-0.335
CN1C=NC(=C1S(=O)(=O)NC2=CC=CC=C2OC)[N+](=O)[O-],H2O,neutral,7.0,-0.408
CC1=CN(C(=N1)[N+](=O)[O-])SC2=NC(=NC3=C2NC=N3)N,H2O,neutral,7.0,-0.49
CC(C)CN1C=NC2=C1N=C(N=C2SC3=C(N=CN3C)[N+](=O)[O-])N,H2O,neutral,7.0,-0.503
CN1C=NC(=C1S(=O)(=O)OC2=CC=CC3=CC=CC=C32)[N+](=O)[O-],H2O,neutral,7.0,-0.34
CN1C=NC(=C1S(=O)(=O)NC2=CC=CC3=CC=CC=C32)[N+](=O)[O-]  ,H2O,neutral,7.0,-0.453
CN1C=C(N=C1Br)[N+](=O)[O-],H2O,neutral,7.0,-0.515
CN1C=C(N=C1I)[N+](=O)[O-],H2O,neutral,7.0,-0.521
CN1C=C(N=C1[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.243
CN1C=C(N=C1S(=O)(=O)C)[N+](=O)[O-],H2O,neutral,7.0,-0.446
C1=NC(=C(N1CC(CO)O)I)[N+](=O)[O-],H2O,neutral,7.0,-0.512
CCOC(=O)CN1C=NC(=C1I)[N+](=O)[O-],H2O,neutral,7.0,-0.436
COCC(CN1C=NC(=C1I)[N+](=O)[O-])O,H2O,neutral,7.0,-0.497
CC1=NC(=CN1CC(COC)O)[N+](=O)[O-],H2O,neutral,7.0,-0.564
C1COCCN1CCN2C=C(N=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.554
C1=CC(=C[N+](=C1)[O-])CNC(=O)CN2C=NC(=C2I)[N+](=O)[O-],H2O,neutral,7.0,-0.465
CN1C=NC([N]([O-])=O)C1=O,H2O,neutral,7.0,-0.439
C1CS(=O)(=O)C2=C(N=CN21)[N+](=O)[O-],H2O,neutral,7.0,-0.335
CN1C=NC(=C1SC2=CC=CC=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.501
CN1C=NC(=C1[N+](=O)[O-])Br,H2O,neutral,7.0,-0.46
CN1C=NC(=C1[N+](=O)[O-])I,H2O,neutral,7.0,-0.461
CN1C=NC(=C1[N+](=O)[O-])S(=O)(=O)N2CCOCC2,H2O,neutral,7.0,-0.334
CN1C=NC(=C1[N+](=O)[O-])S(=O)(=O)N,H2O,neutral,7.0,-0.336
CN1C=NC(=C1[N+](=O)[O-])S(=O)(=O)C2=CC=CC=C2,H2O,neutral,7.0,-0.324
CN1C=NC(=C1[N+](=O)[O-])S(=O)(=O)OC2=CC=CC=C2,H2O,neutral,7.0,-0.259
CN1C(=CN=C1I)[N+](=O)[O-],H2O,neutral,7.0,-0.454
CN1C(=CN=C1[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,7.0,-0.178
CN1C(=CN=C1C=O)[N+](=O)[O-],H2O,neutral,7.0,-0.36
CC1=NC=C(N1C)[N+](=O)[O-],H2O,neutral,7.0,-0.475
COSC1=NC=C([N+]([O-])=O)[N]1C,H2O,neutral,7.0,-0.361
CN1C(=CN=C1S(=O)(=O)C)[N+](=O)[O-],H2O,neutral,7.0,-0.351
CN1C(=CN=C1SCCOC2=CC=C(C=C2)C(=O)O)[N+](=O)[O-],H2O,neutral,7.0,-0.481
CC1=NC=C([N+](=O)[O-])[N]1CCO[P-](=O)(=O)[O-],H2O,neutral,7.0,-0.509
CC1=NC=C(N1CCO)[N+](=O)[O-],H2O,neutral,7.0,-0.486
CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-],H2O,neutral,7.0,-0.467
CCOC(=O)CN1C=NC(=C1[N+](=O)[O-])I,H2O,neutral,7.0,-0.475
COCC(CN1C=NC(=C1[N+](=O)[O-])I)O,H2O,neutral,7.0,-0.441
CC1=NC=C(N1CCNC(=O)S)[N+](=O)[O-],H2O,neutral,7.0,-0.498
CC1=NC=C(N1CC(COC)O)[N+](=O)[O-]  ,H2O,neutral,7.0,-0.479
CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,H2O,neutral,7.0,-0.464
CC1=NC=C(N1CCN2CCOCC2)[N+](=O)[O-],H2O,neutral,7.0,-0.457
C1CSC2=NC=C(N21)[N+](=O)[O-],H2O,neutral,7.0,-0.467
C1CS(=O)(=O)C2=NC=C(N21)[N+](=O)[O-],H2O,neutral,7.0,-0.342
CN1C=C(C2=C1N=CC=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.566
C1=CC2=C(N=C1)N(C=C2[N+](=O)[O-])CCBr,H2O,neutral,7.0,-0.605
C1=CC2=C(N=C1)N(C=C2[N+](=O)[O-])CC(CO)O,H2O,neutral,7.0,-0.607
C1=CC2=C(N=C1)N(C=C2[N+](=O)[O-])CC(=O)NCCO,H2O,neutral,7.0,-0.546
C1COCCN1CCCNC(=O)CN2C=C(C3=C2N=CC=C3)[N+](=O)[O-],H2O,neutral,7.0,-0.532
CCOC(=O)C[N]1C=CC=C2C(=CN=C12)[N+](=O)[O-],H2O,neutral,7.0,-0.616
O=C(C[N]1C=CC=C2C(=CN=C12)[N](=O)=O)NCCCN3CCOCC3,H2O,neutral,7.0,-0.632
CCOC(=O)C[N+]2=C1[N](C=C(C1=CC=C2)[N+](=O)[O-])[H],H2O,neutral,7.0,-0.626
CCN(CC)CC(CNC1=C2C=CC(=CC2=NC3=CC(=C(C=C31)OC)OC)[N+](=O)[O-])O,H2O,neutral,7.0,-0.26
CN(C)CCCNC1=C2C(=NC3=CC=CC=C31)C=CC=C2[N+](=O)[O-],H2O,neutral,7.0,-0.275
CN(C)CCCNC1=C2C(=CC=C(C2=NC3=CC=CC=C31)Cl)[N+](=O)[O-],H2O,neutral,7.0,-0.325
CN(C)CCCNC1=C2C(=CC=C(C2=NC3=CC=CC=C31)F)[N+](=O)[O-],H2O,neutral,7.0,-0.354
CC1=CC=C(C2=C(C3=CC=CC=C3N=C12)NCCCN(C)C)[N+](=O)[O-],H2O,neutral,7.0,-0.321
CN(C)CCCNC1=C2C(=CC=C(C2=NC3=CC=CC=C31)OC)[N+](=O)[O-],H2O,neutral,7.0,-0.361
CN(C)CCCNC1=C2C(=CC=C(C2=NC3=CC=CC=C31)C(=O)OC)[N+](=O)[O-] ,H2O,neutral,7.0,-0.244
CN(C)CCCNC1=C2C(=CC=C(C2=NC3=CC=CC=C31)N(C)C)[N+](=O)[O-],H2O,neutral,7.0,-0.334
CC(=O)OCCN(CCOC(=O)C)C1=CC=C(C2=C(C3=CC=CC=C3N=C12)NCCCN(C)C)[N+](=O)[O-],H2O,neutral,7.0,-0.314
C1=CC=C2C(=C1)NC(=N2)[N+](=O)[O-],H2O,neutral,7.0,-0.3
CN1C2=C(C(=O)N(C1=O)C)NC(=N2)[N+](=O)[O-],H2O,neutral,7.0,-0.494
CN1C2=C(N=C1[N+](=O)[O-])N(C(=O)N(C2=O)C)C,H2O,neutral,7.0,-0.205
C1=CC=C2C(=C1)C=C(O2)[N+](=O)[O-],H2O,neutral,7.0,-0.292
C1=CC2=C(C(=C1)O)OC(=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.288
COC1=CC=CC2=C1OC(=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.296
C1=CC2=C(C=C1O)C=C(O2)[N+](=O)[O-],H2O,neutral,7.0,-0.285
COC1=CC2=C(C=C1)OC(=C2)[N+](=O)[O-],H2O,neutral,7.0,-0.292
C1=CN=CC=C1[N+](=O)[O-],H2O,neutral,7.0,-0.191
C1=CSC(=C1)[N+](=O)[O-],H2O,neutral,7.0,-0.395
